algo,seed_label,source,env_step,reward
td3,seed0,ours,1000,-97.98
td3,seed0,ours,2000,-62.72
td3,seed0,ours,3000,-75.98
td3,seed0,ours,4000,-87.34
td3,seed0,ours,5000,-98.8
td3,seed0,ours,6000,-100.82
td3,seed0,ours,7000,-102.55
td3,seed0,ours,8000,-103.61
td3,seed0,ours,9000,-104.5
td3,seed0,ours,10000,-105.63
td3,seed0,ours,11000,-112.53
td3,seed0,ours,12000,-112.06
td3,seed0,ours,13000,-112.71
td3,seed0,ours,14000,-111.79
td3,seed0,ours,15000,-111.04
td3,seed0,ours,16000,-113.55
td3,seed0,ours,17000,-112.76
td3,seed0,ours,18000,-112.19
td3,seed0,ours,19000,-111.89
td3,seed0,ours,20000,-111.62
td3,seed0,ours,21000,-111.44
td3,seed0,ours,22000,-110.96
td3,seed0,ours,23000,-110.58
td3,seed0,ours,24000,-110.25
td3,seed0,ours,25000,-109.84
td3,seed0,ours,26000,-109.6
td3,seed0,ours,27000,-109.45
td3,seed0,ours,28000,-109.32
td3,seed0,ours,29000,-109.66
td3,seed0,ours,30000,-111.12
td3,seed0,ours,31000,-110.79
td3,seed0,ours,32000,-110.49
td3,seed0,ours,33000,-110.16
td3,seed0,ours,34000,-109.94
td3,seed0,ours,35000,-109.66
td3,seed0,ours,36000,-109.42
td3,seed0,ours,37000,-109.18
td3,seed0,ours,38000,-110.32
td3,seed0,ours,39000,-110.46
td3,seed0,ours,40000,-110.46
td3,seed0,ours,41000,-111.67
td3,seed0,ours,42000,-111.5
td3,seed0,ours,43000,-112.3
td3,seed0,ours,44000,-113.66
td3,seed0,ours,45000,-113.75
td3,seed0,ours,46000,-114.17
td3,seed0,ours,47000,-114.35
td3,seed0,ours,48000,-114.46
td3,seed0,ours,49000,-114.43
td3,seed0,ours,50000,-114.71
td3,seed0,ours,51000,-114.55
td3,seed0,ours,52000,-114.55
td3,seed0,ours,53000,-114.88
td3,seed0,ours,54000,-115.07
td3,seed0,ours,55000,-115.01
td3,seed0,ours,56000,-115.06
td3,seed0,ours,57000,-115.1
td3,seed0,ours,58000,-115.19
td3,seed0,ours,59000,-115.09
td3,seed0,ours,60000,-115.11
td3,seed0,ours,61000,-115.07
td3,seed0,ours,62000,-115.01
td3,seed0,ours,63000,-114.77
td3,seed0,ours,64000,-114.72
td3,seed0,ours,65000,-114.6
td3,seed0,ours,66000,-114.49
td3,seed0,ours,67000,-114.4
td3,seed0,ours,68000,-114.23
td3,seed0,ours,69000,-114.17
td3,seed0,ours,70000,-114.08
td3,seed0,ours,71000,-114.0
td3,seed0,ours,72000,-114.23
td3,seed0,ours,73000,-114.35
td3,seed0,ours,74000,-115.99
td3,seed0,ours,75000,-116.17
td3,seed0,ours,76000,-116.25
td3,seed0,ours,77000,-116.21
td3,seed0,ours,78000,-116.42
td3,seed0,ours,79000,-117.18
td3,seed0,ours,80000,-117.62
td3,seed0,ours,81000,-117.43
td3,seed0,ours,82000,-117.22
td3,seed0,ours,83000,-117.2
td3,seed0,ours,84000,-117.25
td3,seed0,ours,85000,-117.12
td3,seed0,ours,86000,-116.79
td3,seed0,ours,87000,-116.17
td3,seed0,ours,88000,-116.25
td3,seed0,ours,89000,-116.37
td3,seed0,ours,90000,-116.44
td3,seed0,ours,91000,-116.35
td3,seed0,ours,92000,-116.35
td3,seed0,ours,93000,-116.21
td3,seed0,ours,94000,-115.87
td3,seed0,ours,95000,-115.74
td3,seed0,ours,96000,-115.91
td3,seed0,ours,97000,-115.95
td3,seed0,ours,98000,-115.99
td3,seed0,ours,99000,-115.86
td3,seed0,ours,100000,-115.92
td3,seed0,ours,101000,-116.19
td3,seed0,ours,102000,-117.11
td3,seed0,ours,103000,-117.23
td3,seed0,ours,104000,-117.18
td3,seed0,ours,105000,-116.92
td3,seed0,ours,106000,-116.99
td3,seed0,ours,107000,-117.04
td3,seed0,ours,108000,-116.52
td3,seed0,ours,109000,-116.73
td3,seed0,ours,110000,-116.78
td3,seed0,ours,111000,-116.03
td3,seed0,ours,112000,-116.02
td3,seed0,ours,113000,-115.78
td3,seed0,ours,114000,-115.93
td3,seed0,ours,115000,-116.12
td3,seed0,ours,116000,-115.64
td3,seed0,ours,117000,-115.61
td3,seed0,ours,118000,-115.76
